timestamp,open,high,low,close,volume
1777593600,76295.7266,76342.2891,76295.7266,76336.8984,0
1777593660,76345.2969,76384.0078,76345.2969,76381.2891,0
1777593720,76381.3281,76394.7578,76374.6172,76394.4219,3801088
1777593780,76384.2578,76438.7031,76373.0000,76436.8672,0
1777593840,76438.7031,76452.2188,76438.7031,76444.5234,0
1777593900,76439.5781,76439.5781,76411.6719,76428.5625,0
1777593960,76431.6406,76462.3516,76431.6406,76436.0000,0
1777594020,76431.9375,76432.9297,76411.0000,76413.5938,4325376
1777594080,76413.5938,76431.9375,76413.5938,76431.9375,0
1777594140,76435.3125,76477.9766,76435.3125,76464.0000,0
1777594200,76464.0000,76465.0391,76440.5625,76442.6563,0
1777594260,76446.1563,76460.4297,76446.1484,76448.9375,0
1777594320,76448.9531,76458.9688,76436.7109,76458.9688,0
1777594380,76454.4063,76454.4063,76415.7422,76415.7422,469831680
1777594440,76411.6563,76433.9922,76411.6563,76433.9922,0
1777594500,76441.9922,76487.2734,76441.9922,76487.2109,0
1777594560,76487.2266,76523.1875,76484.5234,76523.1875,0
1777594620,76536.7109,76536.7109,76502.9219,76508.8125,4655104
1777594680,76508.8125,76547.0781,76508.8125,76509.9688,57085952
1777594740,76510.0078,76515.1563,76469.1172,76478.7266,0
1777594800,76478.7422,76487.8828,76463.1563,76487.8828,0
1777594860,76487.8828,76489.9297,76471.7813,76471.7813,0
1777594920,76471.3281,76471.3281,76438.7031,76446.0625,0
1777594980,76448.6563,76454.1875,76441.1094,76445.3281,0
1777595040,76445.3281,76456.0078,76445.3281,76455.9766,10702848
1777595100,76455.9766,76485.0625,76455.9766,76484.2813,0
1777595160,76484.2891,76489.9219,76473.7891,76473.7891,0
1777595220,76473.7891,76485.2734,76473.7891,76477.9922,0
1777595280,76477.9922,76485.3438,76477.9922,76479.2578,4145152
1777595340,76479.2734,76495.9063,76479.2734,76495.8984,0
1777595400,76495.8984,76528.2031,76495.8984,76500.0313,80429056
1777595460,76499.6875,76515.4297,76499.6875,76506.0234,0
1777595520,76502.9219,76509.6719,76499.3984,76503.6797,0
1777595580,76502.0000,76508.3281,76499.9219,76503.6094,0
1777595640,76502.7266,76502.7266,76442.7188,76446.8672,0
1777595700,76438.7109,76468.6719,76438.7109,76467.5000,0
1777595760,76462.3594,76462.3594,76438.7031,76438.7031,0
1777595820,76425.9766,76438.9297,76425.9766,76434.9922,45617152
1777595880,76435.0000,76452.2031,76434.9922,76446.4609,0
1777595940,76446.5234,76447.9375,76419.1875,76431.5703,0
1777596000,76431.5625,76442.1172,76431.5625,76442.1094,0
1777596060,76442.1094,76468.6328,76437.8516,76468.6328,0
1777596120,76471.7969,76477.9688,76463.5703,76465.7422,0
1777596180,76463.5703,76485.3984,76457.2734,76485.3984,3512320
1777596240,76486.0000,76502.8281,76486.0000,76499.5313,811008
1777596300,76497.6016,76515.3672,76497.6016,76515.3672,0
1777596360,76515.3828,76559.0625,76500.8672,76503.9922,0
1777596420,76509.6719,76509.6719,76486.1406,76486.1406,0
1777596480,76479.6328,76491.4297,76475.8828,76484.0313,0
1777596540,76489.3906,76489.4609,76452.9219,76452.9219,0
1777596600,76453.0469,76461.4063,76445.4688,76456.4297,0
1777596660,76456.4297,76456.4922,76422.6328,76422.6328,0
1777596720,76419.1719,76440.5469,76419.1719,76440.5469,49002496
1777596780,76440.5625,76440.6484,76440.5625,76440.6406,0
1777596840,76440.6172,76440.6172,76421.3281,76421.3438,0
1777596900,76421.3281,76438.6797,76421.3281,76428.7422,0
1777596960,76425.1875,76425.1875,76398.1406,76398.1406,0
1777597020,76396.7813,76403.5469,76378.6797,76399.2891,0
1777597080,76399.2813,76401.5234,76375.3516,76375.3516,0
1777597140,76375.3594,76423.2422,76357.9922,76423.2422,1509376
1777597200,76424.6328,76444.5938,76415.3516,76444.5938,0
1777597260,76448.8281,76450.1172,76438.7031,76438.7031,71120896
1777597320,76428.9531,76438.7109,76428.9531,76433.7500,0
1777597380,76427.0781,76432.5781,76417.2813,76423.9688,0
1777597440,76423.7188,76433.0938,76423.7188,76431.0078,0
1777597500,76454.5391,76466.6875,76445.4688,76466.6797,3135488
1777597560,76466.6875,76482.6484,76466.6875,76481.9922,0
1777597620,76480.0078,76504.0000,76480.0078,76503.9922,0
